"total_phytoplankton_biomass_conc_mgL","year","doy"
0.40036927,"1995",24
0.65379206,"1995",67
0.67830242,"1995",87
2.48622667,"1995",101
2.0013554,"1995",114
0.82045391,"1995",143
0.21360358,"1995",157
1.34166424,"1995",171
9.50426617,"1995",187
3.02182162,"1995",199
1.71379646,"1995",214
10.07875473,"1995",226
2.27421612,"1995",242
4.09606111,"1995",248
1.15253588,"1995",254
1.41616646,"1995",268
2.43334476,"1995",284
2.76105053,"1995",311
1.43446855,"1995",340
0.32092928,"1996",37
2.31024468,"1996",100
0.94220265,"1996",107
0.4906038,"1996",122
0.11142645,"1996",135
0.16189236,"1996",149
0.17547314,"1996",162
0.11874745,"1996",178
2.38757548,"1996",190
6.48650688,"1996",204
1.65392941,"1996",218
1.58971739,"1996",232
1.3515369,"1996",249
1.19728778,"1996",261
0.65207142,"1996",290
7.13039279,"1996",330
0.43330913,"1997",48
5.76851967,"1997",99
0.07241342,"1997",122
1.16394032,"1997",133
0.32574738,"1997",148
1.45610222,"1997",162
3.79703955,"1997",176
1.06640232,"1997",190
1.81252624,"1997",204
0.99525127,"1997",218
1.96459737,"1997",230
3.38344375,"1997",245
5.12151696,"1997",273
1.65169554,"1997",303
1.84055868,"1997",334
0.04684612,"1998",37
3.46471687,"1998",72
1.15619424,"1998",85
1.11340993,"1998",100
2.76815809,"1998",114
10.84600586,"1998",187
2.3209742,"1998",204
1.64255253,"1998",214
1.96983297,"1998",230
5.39947534,"1998",245
1.60564715,"1998",271
6.79491415,"1998",300
2.31430761,"1998",327
0.06811075,"1999",25
0.23473945,"1999",53
0.87734856,"1999",88
0.39674474,"1999",102
0.344216,"1999",116
0.33001169,"1999",130
0.16921775,"1999",146
0.14283059,"1999",158
2.62749311,"1999",172
3.96666354,"1999",187
9.23370774,"1999",200
2.90605639,"1999",214
2.54122611,"1999",228
4.32448689,"1999",242
4.56894644,"1999",270
6.50459539,"1999",299
3.00655317,"1999",326
0.49259721,"2000",24
0.21048248,"2000",59
0.53883841,"2000",73
1.39636257,"2000",89
1.75720982,"2000",101
0.63515138,"2000",116
0.50565697,"2000",131
0.22564548,"2000",143
0.9838798,"2000",158
5.22912895,"2000",171
1.86641113,"2000",185
14.79624225,"2000",199
0.10841573,"2000",213
7.16492756,"2000",229
12.07795666,"2000",241
1.63089854,"2000",269
0.23558191,"2000",298
0.05016044,"2001",17
1.90824672,"2001",66
1.90023,"2001",100
0.35505198,"2001",113
0.02458691,"2001",127
0.0809339,"2001",141
0.12841456,"2001",155
0.01027839,"2001",169
6.14791648,"2001",183
2.7715194,"2001",197
3.7325,"2001",211
2.2994,"2001",225
4.1262,"2001",239
7.8608,"2001",269
0.1661,"2001",295
0.2717,"2001",330
0.0415301,"2001",332
0.9457,"2002",87
0.8926,"2002",98
0.2563,"2002",114
0.043,"2002",126
0.097,"2002",140
0.0789,"2002",154
0.0342,"2002",170
1.4396,"2002",182
1.4485,"2002",196
1.3084,"2002",207
2.0102,"2002",224
1.7601,"2002",238
0.5781,"2002",266
0.3194,"2002",294
0.7255,"2003",21
0.1221,"2003",93
0.7271,"2003",104
0.1363,"2003",118
1.0672,"2003",123
0.4402,"2003",147
2.815,"2003",160
1.979,"2003",202
2.1256,"2003",216
0.8851,"2003",230
0.9476,"2003",245
0.3418,"2003",272
1.0504,"2003",300
0.1091,"2003",329
0.1547,"2004",36
0.7163,"2004",89
1.1148,"2004",103
0.0891,"2004",117
0.1901,"2004",131
0.7499,"2004",145
0.3459,"2004",159
1.0805,"2004",173
2.8685,"2004",189
3.2236,"2004",201
3.8726,"2004",216
2.7869,"2004",229
1.0506,"2004",251
1.3166,"2004",279
0.1467,"2004",308
0.0371,"2005",31
1.363,"2005",105
0.8273,"2005",115
0.206,"2005",129
0.4703,"2005",143
1.0454,"2005",157
1.8209,"2005",171
5.5649,"2005",186
6.0768,"2005",199
6.4421,"2005",213
0.1711,"2005",227
0.9798,"2005",241
0.9218,"2005",269
1.0962,"2005",306
1.2136,"2005",334
0.1273,"2006",65
0.2018,"2006",94
0.2677,"2006",107
0.3938,"2006",122
0.1386,"2006",135
0.1629,"2006",150
1.2414,"2006",163
1.3765,"2006",177
0.8459,"2006",191
1.3305,"2006",205
0.9796,"2006",219
0.3395,"2006",233
1.4077,"2006",249
2.5661,"2006",275
2.9533,"2006",303
0.6586,"2006",331
0.1948,"2007",3
0.1991,"2007",50
0.4485,"2007",92
2.2489,"2007",106
0.5792,"2007",120
0.0173,"2007",134
0.125,"2007",149
0.6144,"2007",162
2.5106,"2007",176
4.6122,"2007",190
5.2645,"2007",204
1.1876,"2007",218
1.1187,"2007",232
1.1819,"2007",247
1.714,"2007",274
0.4916,"2007",302
0.1213,"2007",330
0.1089,"2008",44
6.2966,"2008",105
0.5789,"2008",119
0.3011,"2008",133
0.0901,"2008",149
0.1318,"2008",161
2.4579,"2008",175
10.8351,"2008",189
10.1243,"2008",203
17.0867,"2008",217
11.7796,"2008",231
2.4637,"2008",249
3.9076,"2008",273
0.4134,"2008",303
0.0887,"2009",2
0.6113,"2009",105
0.2658,"2009",117
0.9471,"2009",131
0.1205,"2009",148
0.0242,"2009",160
0.2161,"2009",174
4.9969,"2009",187
4.339,"2009",201
11.4567,"2009",217
5.4027,"2009",231
5.6307,"2009",245
2.503,"2009",273
0.2796,"2009",301
0.5195,"2009",337
0.594,"2010",32
7.1937,"2010",88
2.8329,"2010",103
1.7821,"2010",116
0.5171,"2010",130
0.3403,"2010",144
3.7737,"2010",158
1.5882,"2010",172
3.9795,"2010",186
1.9288,"2010",200
1.9471,"2010",215
2.3006,"2010",228
1.4183,"2010",242
3.2857,"2010",278
4.0678,"2010",313
0.11602519,"2011",19
2.37839406,"2011",108
6.57556322,"2011",122
1.20465409,"2011",137
0.38245335,"2011",151
0.76430117,"2011",164
0.6880462,"2011",178
4.6822077,"2011",192
0.44772728,"2011",216
1.04482129,"2011",234
0.8364255,"2011",255
0.97353947,"2011",276
14.02829918,"2011",304
1.3728667,"2012",53
1.97902764,"2012",81
2.18639634,"2012",95
0.05213653,"2012",108
0.02431874,"2012",122
0.12319335,"2012",135
0.10569288,"2012",150
1.34434768,"2012",163
1.57304355,"2012",177
0.72884207,"2012",192
0.9092526,"2012",205
0.53049411,"2012",219
0.60429306,"2012",233
0.4735356,"2012",248
8.85788397,"2012",275
1.83700846,"2012",303
2.80137869,"2012",334
1.28993242,"2013",43
1.57203236,"2013",119
0.47207246,"2013",134
0.15820998,"2013",148
0.12795618,"2013",161
0.93451889,"2013",175
4.43621339,"2013",189
4.97599516,"2013",203
3.33301999,"2013",217
1.05886669,"2013",233
1.78328403,"2013",247
1.53634758,"2013",273
5.10291239,"2013",302
3.79605657,"2013",336
0.16526872,"2014",34
1.13033287,"2014",119
2.27075005,"2014",134
1.15774787,"2014",148
13.41612351,"2014",160
7.79357717,"2014",174
9.88968736,"2014",188
8.81865484,"2014",202
0.5192881,"2014",216
2.16500888,"2014",232
3.04077471,"2014",245
2.40098326,"2014",271
2.65506144,"2014",303
0.64596474,"2015",42
2.17453817,"2015",100
1.12753328,"2015",114
0.80278957,"2015",121
2.61310379,"2015",133
0.76366481,"2015",147
5.9531364,"2015",159
9.82754843,"2015",174
10.37722324,"2015",189
9.06011629,"2015",201
4.79969692,"2015",215
1.6129029,"2015",230
2.29380584,"2015",243
13.33096216,"2015",280
4.14654919,"2015",306
1.66675074,"2016",27
2.32306013,"2016",88
1.20906173,"2016",103
1.47471058,"2016",116
0.93337291,"2016",132
2.04833869,"2016",144
1.07704803,"2016",159
0.86752534,"2016",172
0.9784672,"2016",187
1.39208839,"2016",200
1.02313321,"2016",214
1.99981521,"2016",228
1.12765051,"2016",243
1.08527997,"2016",278
2.24663746,"2016",314
1.86809568,"2017",37
1.66858343,"2017",107
1.68988751,"2017",123
1.53886304,"2017",135
