DATATAKE_IDENTIFIER,MGRS_TILE,SPACECRAFT_NAME,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,pixelCount
GS2B_20181210T165659_009204_N02.11,15TYH,Sentinel-2B,9.711487065382801,122.75893430748889,113.64301820243122,58.962499212697644,32.05463248724573,13.975085848934624,16.30946048370426,31.437437803111433,21.648791352767773,17.400768407129824,17.652869721704484,311
GS2B_20181210T165659_009204_N02.11,16TCN,Sentinel-2B,165.42316910113772,230.57381619112488,188.84534170892303,105.72447589495191,94.08486591488183,66.8820227553672,63.64209490653146,59.9804359343071,45.86812230379171,27.415462044955728,22.64067139925825,312
GS2A_20181215T165711_018184_N02.11,15TYH,Sentinel-2A,1.0,26.239138376267558,77.58875102349312,24.433180071801996,20.23761839300804,7.377578475336326,7.104854686562825,10.510842693609932,8.42728759395676,2.983399804349463,10.93962929808857,311
GS2A_20181215T165711_018184_N02.11,16TCN,Sentinel-2A,67.2300638260299,72.66499271639958,102.50070280354718,31.446459147946534,23.772419433156987,8.43537414965986,6.380282126802047,9.660660489967604,7.886846519429686,2.546274409431036,10.962038249934503,308
GS2B_20181220T165719_009347_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20181220T165719_009347_N02.11,16TCN,Sentinel-2B,4536.375286964855,4501.009662201367,4156.900426347788,4071.965362395619,4063.4794015994344,3947.854070486137,3958.791707661646,4006.708241882992,3872.5333509927095,1606.3859835010976,1425.6634375236506,312
GS2A_20181225T165711_018327_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20181225T165711_018327_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20181230T165719_009490_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20181230T165719_009490_N02.11,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190104T165701_018470_N02.11,15TYH,Sentinel-2A,139.1645650941615,80.99969767588337,73.57034704289225,1.277345822155534,1.0,1.0,1.0,1.0,1.0,1.0,1.1570951691125526,311
GS2A_20190104T165701_018470_N02.11,16TCN,Sentinel-2A,356.26116955523594,251.10516158328906,195.40235626529426,62.53486465349784,23.95110875652765,5.995144313417984,1.0436953491319223,3.5126895971103855,1.9525997367355215,1.0,2.6626050102172103,312
GS2B_20190109T165659_009633_N02.11,15TYH,Sentinel-2B,481.013012533854,506.30787932229015,457.85364993386685,392.8985324683506,381.42860741953774,355.96122693204035,371.7377464256473,369.8672419222776,380.15513006235443,413.9076021918501,337.8071424072559,311
