DATATAKE_IDENTIFIER,MGRS_TILE,SPACECRAFT_NAME,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,pixelCount
GS2B_20181210T165659_009204_N02.11,15TYH,Sentinel-2B,26.925822416554936,120.24319223058772,122.25853854668397,66.36948544701995,47.39747038941724,33.31694898182892,34.19343756549844,37.23826749176616,37.89952007470161,30.458671233844253,29.073772234413536,395781
GS2B_20181210T165659_009204_N02.11,16TCN,Sentinel-2B,156.14049999357078,237.377954083249,206.0783313442179,118.35946537255813,105.43855321031647,75.29565697808427,73.11351260527863,65.15353329525193,58.61084169503366,39.90039569792825,33.725019962419054,344363
GS2A_20181215T165711_018184_N02.11,15TYH,Sentinel-2A,152.97143394280644,158.4489770120285,215.38403312508794,160.208923796943,168.37592209207276,166.3285914695675,166.60265204147325,154.14454098649108,166.6034655503642,31.865848044900005,32.33960499967812,394632
GS2A_20181215T165711_018184_N02.11,16TCN,Sentinel-2A,205.68589471961303,226.34219731278802,263.61961868785824,189.6396087730104,192.75184093320047,192.81590498672477,192.94971154683535,181.5647142894916,193.53854529251305,32.31904003896713,32.60895924239678,343303
GS2B_20181220T165719_009347_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20181220T165719_009347_N02.11,16TCN,Sentinel-2B,4691.494317531541,4560.987092843503,4229.314398699488,4144.522063960698,4133.46236181377,4018.9875811038974,4028.4394364934096,4049.234337944529,3943.3187975982696,1726.8793958382582,1546.2646033987478,27551
GS2A_20181225T165711_018327_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20181225T165711_018327_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20181230T165719_009490_N02.11,15TYH,Sentinel-2B,135.43174843060262,187.5040122323614,243.84706389426006,312.22292314630096,370.0237528451532,380.6861478227403,409.1141196906374,439.4231449786731,441.33272582230995,354.92647707615083,424.6205855949507,195570
GS2B_20181230T165719_009490_N02.11,16TCN,Sentinel-2B,170.76453947356705,211.31081519301267,256.7532839864546,314.64420753209043,366.81189771687525,376.75968553553537,406.6227598336736,436.60799009135803,441.3791351953698,360.2125119681765,432.2674553544445,181380
GS2A_20190104T165701_018470_N02.11,15TYH,Sentinel-2A,521.7284643225485,433.03679275778177,432.7665816146242,379.3805764823747,444.9447717255763,410.3429432144861,385.23471745806285,325.3917282585962,369.345096618174,32.52281591625342,36.70514789028564,377612
GS2A_20190104T165701_018470_N02.11,16TCN,Sentinel-2A,622.1116800837444,529.7185799764914,503.8805356739652,382.44791808451583,398.2210742349187,403.38724818375744,401.9028643641258,327.72850054679316,382.059572221945,31.131773117746775,35.57819016192962,344304
GS2B_20190109T165659_009633_N02.11,15TYH,Sentinel-2B,1076.5742903860257,1137.704082287167,1078.2634868077212,1033.631448362305,1033.962714074098,1015.849823098827,1025.9594825583765,1089.7489720246979,1044.7321586558598,1270.150639470161,1177.6787333447548,353441
GS2B_20190109T165659_009633_N02.11,16TCN,Sentinel-2B,1078.5967637511305,1039.56010863947,991.4815051114813,963.6603487010999,1004.3051278436637,984.6193348814654,999.4476290765589,1034.0905498386392,1021.2858308403437,1248.4556755315919,1152.7747934252038,303732
GS2A_20190114T165641_018613_N02.11,15TYH,Sentinel-2A,1505.3299341675183,1439.427177146227,1375.7518780087364,1283.3941676628258,1306.5102491206142,1260.7643741272145,1230.3346863997067,1230.966773279423,1232.6270793871756,1231.161125404824,1128.365021169415,254917
